"Key","Meaning1","Meaning2","Meaning3","Meaning4","user_id"
"dukhad","दुःखद","regrettable ","piteous","tragic",""
"dukhadayi","दुःखदायी","painful","","",""
"dukhapradarshan","दुःखप्रदर्शन","condolences","","",""
"dukharahit","दुःखरहित","painless","","",""
"dukhara","दुखरा","raw","tender","sore",""
"dukhavata","दुखवता","mourning","","",""
"dukhavane","दुखवणे","to offend","injure","wound",""
"dukhantika","दुःखांतिका","a tragedy","","",""
"dukhapat","दुखापत","an injury","hurt","",""
"dukhashru","दुःखाश्रू","tears of sorrow","","",""
"dukhikashti","दुःखिकष्टी","miserable","wretched","",""
"dukhit","दुःखित","afflicated","sad","distressed",""
"dukhi","दुःखी","sad ","sorrowful","unhappy",""
"dugani","दुगाणी","one of the hind legs","","",""
"dugdh","दुग्ध","milk","","",""
"dugdhalay","दुग्धालय","a dairy","a cycle","",""
"duchaki","दुचाकी","a cycle","bicycle","bike ",""
"dujabhav","दुजाभाव","discrimination","","",""
"dujora","दुजोरा","confirmation","","",""
"dutappi","दुटप्पी","hypocritical","equivocal","doubtful",""
"dudaki chal","दुडकी चाल","trot","trotting","trotting gait",""
"dunavane","दुणावणे","to double","","",""
"dutarfa","दुतर्फा","on both sides","","",""
"dutondi","दुतोंडी","hypocritical","two-faced","deceitful",""
"dundubhi","दुंदुभी","a kettledrum","","",""
"dudhakhula","दुधखुळा","credulous","","",""
"dudhari","दुधारी","double-edged","two-edged","",""
"dudhal","दुधाळ","milky","","",""
"duniya","दुनिया","the world","","",""
"dupar","दुपार","afternoon","","",""
"dupari","दुपारी","in the afternoon","during afternoon","",""
"duppt","दुप्पट","double","two-fold","",""
"dufali","दुफळी","a split","division","rift",""
"dubala","दुबळा","helpless","powerless","nerveless",""
"dubar","दुबार","second","for the second time","twise",""
"dubelake","दुबेळके","crutch","","",""
"dubhangane","दुभंगणे","to be broken into two","to be shattered","",""
"dubhagane","दुभागणे","to bisect","bifurcate","",""
"dubhajak","दुभाजक","a divider","","",""
"dubhashi","दुभाषी","an interpreter","","",""
"dumajali","दुमजली","two-storeyed","two-decked","",""
"dumad","दुमड","a fold","crease","",""
"dumadane","दुमडणे","to fold","","",""
"dumat","दुमत","disagreement","","",""
"dumadumane","दुमदुमणे","to resound","resonate","reverberate",""
"duyyam","दुय्यम","secondary","subsidairy","subordinate",""
"durabhiman","दुरभिमान","self-conceit","vanity","",""
"duragrah","दुराग्रह","stubbornness","obstinancy","mulishness",""
"duragrahi","दुराग्रही","stubborn","obstinate","selfwilded",""
"durachar","दुराचार","depravity","immorality","vice",""
"duracharani","दुराचरणी","depraved","immoral","dissolute",""
"durapasta","दुरापास्त","improbable","","",""
"duraradhya","दुराराध्य","difficult","implacable","",""
"duravane","दुरावणे","to estrange","","",""
"durava","दुरावा","distance","aloofness","remoteness",""
"durupayogi","दुरुपयोगी","abuse","misuse","",""
"durusta karanr","दुरुस्त करणे","to correct","rectify","fix",""
"durusti","दुरुस्ती","repair","correction","amendment",""
"durun","दुरून","remotely","","",""
"durg","दुर्ग","a fort","","",""
"durgati","दुर्गती","sorry state","plight","",""
"durgandh","दुर्गंध","smell","bad smell","foul smell",""
"durgam","दुर्गम","inaccessible","unreachable","remote",""
"durgan","दुर्गुण","a vice","","",""
"durgani","दुर्गुणी","vicious","","",""
"durghatana","दुर्घटना","a disaster","a mishap","an accident",""
"durjan","दुर्जन","an unrighteous person","wicked person","vilian",""
"durdamya","दुर्दम्य","indomitable","unyielding","irrepressible",""
"durdasha","दुर्दशा","misery","plight","sorry plight",""
"durdaiv","दुर्दैव","misfortune","mischance","evil",""
"durdaivi","दुर्दैवी","unfortunate","unlucky","luckless",""
"durdhar","दुर्धर","incurable","","",""
"durbal","दुर्बल","weak","feeble","helpless",""
"durbalata","दुर्बलता","weakness","infirmity","",""
"durbal","दुर्बळ","weak","feeble","helpless",""
"durbin","दुर्बीण","a telescope","binoculars","",""
"durbudhdi","दुर्बुद्धी","wickedness","stupidity","stupied thought",""
"durbodh","दुर्बोध","incomprehensible","abstruse","deep",""
"durbhagya","दुर्भाग्य","misfortune","mischance","",""
"durbhiksha","दुर्भिक्ष","a famine","dearth","",""
"durbhedya","दुर्भेद्य","impenetrable","","",""
"durmati","दुर्मती","stupidity","","",""
"durmil","दुर्मीळ","rare","scarce","few",""
"durmukhalela","दुर्मुखलेला","sullen","sulky","morose",""
"durlabh","दुर्लभ","rare ","scarce","",""
"durlaksha","दुर्लक्ष","neglect","negligence","inattention",""
"durlakshit","दुर्लक्षित","neglected","uncared-for","",""
"durlaukik","दुर्लौकिक","disrepute","ill repute","bad reputation",""
"durvartan","दुर्वर्तन","misbehaviour","bad behaviour","",""
"durvipak","दुर्विपाक","an ill consequence","","",""
"durvyasan","दुर्व्यसन","a bad habit","","",""
"durdynaya","दुर्ज्ञेय","incomprehensible","abstruse","obscure",""
"dulai","दुलई","a quilt","duvet","",""
"duva","दुवा","a link","bond","blessing",""
"dushchinh","दुश्चिंह","an evil omen","portent","",""
"dishman","दुश्मन","an enemy","foe","",""
"dushakr","दुष्कर","difficult","uphill","hard",""
"dushkarm","दुष्कर्म","a misdeed","sin","",""
"dushakal","दुष्काळ","a famine","drought","scarcity",""
"dushkirti","दुष्कीर्ती","disrepute","infamy","bad reputation",""
"dushkrutya","दुष्कृत्य","a misdeed","","",""
"dushta","दुष्ट","wicked","depraved","vicious",""
"dushtava","दुष्टवा","wickedness","","",""
"dushraparinam","दुष्परिणाम","an adverse effect","","",""
"dushprapya","दुष्प्राप्य","scarce","rare","hard to obtain",""
"dusang","दुःसंग","a bad company","","",""
"diusara","दुसरा","second","another","other",""
"dusaha","दुःसह","insufferable","intolerable","unbearable",""
"dusadhya","दुःसाध्य","hard to obtain","","",""
"dusahas","दुःसाहस","rashness","","",""
"dusvapna","दुःस्वप्न","a nightmare","bad dream","",""
"dihi","दुही","a division","split","rift",""
"duheri","दुहेरी","double","dual","twofold",""
"dun","दूण","a seam","crease","",""
"dut","दूत","a messenger","envoy","herald",""
"dutavas","दूतावास","a consulate","embassy","",""
"dudh","दुध","milk","","",""
"dudhavala","दुधवाला","a milkman","","",""
"dudhapita","दुधपिता","suckling","breastfeeding","",""
"dur","दूर","far","away","aloof",""
"duragami","दूरगामी","far-reaching","","",""
"duracha","दूरचा","distant","remote","far-away",""
"durachitravani","दूरचित्रवाणी","television","","",""
"durat","दूरत:","from a distance","","",""
"durata","दूरता","remoteness","distance","",""
"duradarshak","दूरदर्शक","a telescope","","",""
"duradarshan","दूरदर्शन","television ","TV","",""
"duradarshi","दूरदर्शी","far-sighted","far-seeing","discreet",""
"duradarshipana","दूरदर्शीपणा","discretion","prudence","foresight",""
"duradrishti","दूरदृष्टी","vision","foresight","farsightedness",""
"duradhvani","दूरध्वनी","telephone","","",""
"duraniyantran","दूरनियंत्रण","remote control","","",""
"durabhash","दूरभाष","telephone","","",""
"duramudrak","दूरमुद्रक","teleprintier","","",""
"duramudran","दूरमुद्रण","teleprinting","","",""
"durasanchar","दूरसंचार","telecommunications","","",""
"durasth","दूरस्थ","distant","","",""
"dushan","दूषण","blame","reproach","slur",""
"dushaniy","दुषणीय","blameworthy","","",""
"dushit","दुषित","polluted","contaminated","impure",""
"dushitikaran","दूषितीकरण","contamination","","",""
"drukapatal","दृकपटल","the retina","","",""
"drukashrav","दृकश्राव्य","autio-visual","","",""
"druggochar","दृग्गोचर","visible","","",""
"drudha","दृढ","firm","determined","unshakeable",""
"drudhanishchay","दृढनिश्चय","a firm resolve","","",""
"drudhanishchayi","दृढनिश्चयी","resolute","","",""
"drupratidynan","दृढप्रतिज्ञ","true to one's promise","","",""
"drudhamul","दृढमूल","deep-rooted","deep-seated","long-established",""
"drudhavane","दृढावणे","to become firm","","",""
"drudhikaran","दृढीकरण","consolidation","strengthening","fortification",""
"drushya","दृश्य","a spectacle","view","sight",""
"drushyaman","दृश्यमान","visible","","",""
"drushta","दृष्ट","an evil eye","","",""
"drushtant","दृष्टांत","an illustration","example","instance",""
"drushtiaad","दृष्टीआड","out of sight","","",""
"drushtikon","दृष्टीकोन","standpoint","a viewpoint","vantage point",""
"drushtigochar","दृष्टीगोचर","visible","","",""
"drushtidosh","दृष्टीदोष","a slight defect","","",""
"drushtipatal","दृष्टीपटल","the retina","","",""
"drushtipath","दृष्टीपथ","view ","sight","",""
"drushtibhram","दृष्टीभ्रम","optical illusion","visual illusion","",""
"drushtirhasvata","दृष्टीऱ्हस्वता","short-sightedness","near-sightedness","myopia",""
"drushtihin","दृष्टिहीन","sightless","","",""
"drushtikshetra","दृष्टीक्षेत्र","field of vision","","",""
"drushtishep","दृष्टीक्षेप","a glance","a quick look","",""
"drushti","दृष्टी","vision","sight","eyesight",""
"deu karane","देऊ करणे","to tender ","offer","proffer",""
"deun takane","देऊन टाकणे","to relinquish","part with","devote",""
"deool","देऊळ","a temple","","",""
"dekhana","देखणा","handsome","goodlooking","personable",""
"dekhat","देखत","in the presence","before the eyes","under someone's nose",""
"dekhabhal","देखभाल","care","maintenance","upkeep",""
"dekharekh","देखरेख","watch","supervision","under observation",""
"dekhava","देखावा","a show","pomp","display",""
"dekheel","देखील","also","","",""
"deth","देठ","a stem","stalk","",""
"denagi","देणगी","a donation","present","gift",""
"denagidar","देणगीदार","a donor","","",""
"dene","देणे","a debt","","",""
"denekari","देणेकरी","a debtor","","",""
"deneghene","देणेघेणे","dealing","transactions","relevance",""
"dedeepyaman","देदीप्यमान","brilliant","radiant","luminous",""
"dey","देय","payable","due","",""
"dev","देव","a god","deity","divinity",""
"devghev","देवघेव","dealings","business","transactions",""
"devata","देवता","a deity","divinity","",""
"devatva","देवत्व","divinity","","",""
"devadar","देवदार","a cedar","fir","deodar",""
"devdharma","देवधर्म","religious things","religious observances","",""
"devmanus","देवमाणूस","a very virtuous person","","",""
"devmasa","देवमासा","a whale","","",""
"devanghevan","देवाणघेवाण","exchange","give and take","interaction",""
"devalay","देवालय","a temple","","",""
"devadyna","देवाज्ञा","death","","",""
"devi","देवी","a demale deity","goddess","smallpox",""
"devhara","देव्हारा","a case for an idol","a show of religiousity","",""
"desh","देश","a country","nation","",""
"deshtyag","देशत्याग","emigration","","",""
"deshdroh","देशद्रोह","treason","","",""
"deshdriho","देशद्रोही","a traitor","tratorous","",""
"deshprem","देशप्रेम","patriotism","chauvinism","",""
"deshpremi","देशप्रेमी","a patriot","","",""
"deshbadhav","देशबांधव","a countryman","fellowcountryman","compatriot",""
"deshbhakt","देशभक्त","a patriot","","",""
"deshbhakti","देशभक्ती","patriotism","","",""
"deshvasi","देशवासी","a countryman","fellow countryman","",""
"deshvyapi","देशव्यापी","nation-wide","","",""
"deshatan","देशाटन","globe-trotting","","",""
"deshantar","देशांतर","emigration","","",""
"deshantargat","देशांतर्गत","domestic","inland","internal",""
"deshi","देशी","indigenous","homegrown","vernacular",""
"deshiy","देशीय","indigenous","","",""
"deh","देह","the body","","",""
"dehdand","देहदंड","a capital punishment","death penalty","",""
"dehbhan","देहभान","consciousness","","",""
"dehavikriy","देह्विक्रीय","prostitution","","",""
"dehant","देहान्त","death","","",""
"dehavashesh","देहावशेष","a relic","","",""
"dehavasan","देहावसान","death","","",""
"daitya","दैत्य","a demon","","",""
"dainandin","दैनंदिन","daily","everyday","day-to-day",""
"daina","दैना","misery","poverty","",""
"dainik","दैनिक","daily","quotidian","",""
"dainya","दैन्य","misery","poverty","",""
"daiv","दैव","fate","destiny","fortune",""
"daivaghatit","दैवघटीत","accidental","","",""
"daivat","दैवत","an idol","","",""
"daivayogane","दैवयोगाने","providentially","by chance","",""
"daivavad","दैववाद","fatalism","","",""
"daivavadi","दैववादी","fatalist","predestinarian","",""
"daivahin","दैवहीन","luckless","","",""
"daivik","दैविक","divine","supernatural","heavenly",""
"daivi","दैवी","divine","heavenly","",""
"daihik","दैहिक","carnal","corporal","bodily",""
"doghe","दोघे","both","","",""
"dond","दोंद","a pot belly","a large belly","",""
"dondil","दोंदिल","pot-bellied","","",""
"don","दोन","two","a few","a couple of",""
"donhi","दोन्ही","both","","",""
"dor","दोर","on both sides","","",""
"dorkhand","दोरखंड","a cord","rope","cable",""
"dora","दोरा","thread","","",""
"dori","दोरी","string","cord","to tie a string",""
"dolayaman","दोलायमान","hesitant","swinging","wavering",""
"dosh","दोष","a blame","guilt","fault",""
"doshamukta","दोषमुक्त","exonerated","acquitted","",""
"doshamuktata","दोषमुक्तता","acquittal","exoneration","absolution",""
"dosharahit","दोषरहित","faultless","flawless","impeccable",""
"doshateet","दोषातीत","infalliable","","",""
"dosharop","दोषारोप","blame","reproof","",""
"dosharopan","दोषारोपण","accusation","incrimination","",""
"dosharh","दोषार्ह","blameworthy","reprehensible","culpable",""
"doshi","दोषी","guilty","at fault","to blame",""
"dost","दोस्त","a friend","ally","allied",""
"dosti","दोस्ती","friendship","","",""
"daunt","दौत","an ink-pot","ink-bottle","",""
"daura","दौरा","a tour","","",""
"daurbalya","दौर्बल्य","feebleness","weakness","debility",""
"daulat","दौलत","wealth","riches","",""
"drut","द्युत","gambling","","",""
"drotak","द्योतक","a sign","symbol","indication",""
"drav","द्रव","liquid","liquid substance","",""
"dravagatishastra","द्रवगतिशास्त्र","hydrodynamics","","",""
"dravachalit","द्रवचलित","hydraulic","","",""
"dravanbindu","द्रवणबिंदू","the melting point","","",""
"dravane","द्रवणे","to melt","to liquefy","",""
"dravarup","द्रवरूप","liquid","","",""
"dravavastha","द्रवावस्था","liquid state","","",""
"dravibhavan","द्रवीभवन","liquefaction","","",""
"dravya","द्रव्य","material","matter","stuff",""
"drashta","द्रष्टा","a visionary","prophet","seer",""
"drav","द्राव","solution","","",""
"dravak","द्रावक","solvent","","",""
"dravan","द्रावण","solution","","",""
"dravya","द्राव्य","soluble","","",""
"dravideepranayam","द्राविडीप्राणायाम","circumlocution","","",""
"draksha","द्राक्ष","a grape","","",""
"drakshasav","द्राक्षासव","grape-wine","grape-liquor","",""
"drut","द्रुत","fast","rapid","swift",""
"drutagati","द्रुतगती","quick","fast","swift",""
"drutagami","द्रुतगामी","swift","fleet","fast",""
"drutamahamarg","द्रुतमहामार्ग","an express highway","expressway","",""
"dron","द्रोण","a leaf-bowl","","",""
"droh","द्रोह","treacherous","perfidy","treason",""
"drohi","द्रोही","treacherous","disloyal","unfaithful",""
"dvandva","व्द्व्द","a duel","","",""
"dvandva","द्वंद्व","a duel","","",""
"dvandrvayudhda","द्वंदवयुद्ध","a duel","","",""
"dvay","व्दय","a pair","couple","",""
"dvad","व्दाड","naughty","wayward","mischievous",""
"dvar","व्दार","a door","entrance","gate",""
"dvarapal","व्दारपाल","a doorkeeper","gatekeeper","commissionaire",""
"dvara","व्दारा","via","through","care of",""
"dvi","व्दि","two","","",""
"dviarthi","व्दिअर्थी","equivocal","ambiguous","",""
"dvigunit","व्दिगुणित होणे","to grow","increase","double",""
"dvigruhi","व्दिगृही","bicameral","","",""
"dvitiy","व्दितीय","second","secondary","",""
"dvitiya","व्दितिया","accusative","the objective case","",""
"dvitva","व्दित्व","duality","twoness","",""
"dvidha mansthitee","व्दिधा मनःस्थिती","a dilemma","perplexity","hesitation",""
"dvipatritva","व्दिपत्नित्व","bigamy","","",""
"dvipad","व्दिपद","binomal","","",""
"dvipaad","व्दिपाद","two-legged","an biped","two-legged animal",""
"dvipakshi","व्दिपक्षी","bilateral","two-sided","bipartite",""
"dvibhagane","व्दिभागणे","to bisect","","",""
"dvibhajan","व्दिभाजन","bisection","division into two","",""
"dvibharyavivah","व्दिभार्याविवाह","bigamy","","",""
"dvibhashik","व्दिभाषिक","bilingual","","",""
"dvimasik","व्दिमासिक","bimonthly","","",""
"dvirukti","व्दिरुक्ती","tautology","repetition","",""
"dvivarshik","व्दिवार्षिक","biennial","","",""
"dvividh","व्दिविध","of two kinds","","",""
"dvishatak","व्दिशतक","a double century","a double hundred","",""
"dvishatakotsav","व्दिशतकोत्सव","a bicentenary","","",""
"dvishatabdi","व्दिशताब्दी","a bicentenary","","",""
"dvisadani","व्दीसदनी","bicameral","","",""
"dvistariy","व्दिस्तरीय","bi-level","two-level","",""
"dvip","व्दीप","an island","isle","",""
"dvipakalpa","व्दीपकल्प","a peninsula","","",""
"dvipavasi","व्दीपवासी","an islander","","",""
"dvipsamuh","व्दीपसमूह","a group of islands","archipelago","",""
"dvipika","व्दिपिका","an islet","","",""
"dvesh","व्देष","hate","hatred","spite",""
"dveshapurna","व्देषपूर्ण","malevolent","venomous","malicious",""
"dveshabudhdi","व्देषबुद्धी","animus","malice","",""
"dveshabhav","व्देषभाव","malica","spite","",""
"dveshayukt","व्देषयुक्त","malicious","spiteful","",""
"dvet","व्देत","dualism","duality","",""
"dvetavad","व्देतवाद","dualism","","",""
"dvayarthi","व्दयर्थी","equivocal","ambiguous","",""
"dhakdhak","धकधक","pulsing","throbbing","pulsating",""
"dhakadhaiche","धाकधकीचे","hectic","very busy","",""
"dhakka","धक्का","a push","jolt","shove",""
"dhakkadayak","धक्कादायक","shocking","starting","stupefying",""
"dhakkabukki","धक्काबुक्की","a scuffle","jostling","",""
"dhag","धग","heat ","warmth","",""
"dhagadhagane","धगधगणे","to blaze","glow","",""
"dhajane","धजणे","to dare","to have the courage to","",""
"dhajavane","धाजावणे","to dare","to venture","to plunk up courage to",""
"dhantigan","धटिंगण","loutish","boorish","oafish",""
"dhattakatta","धट्टाकट्टा","able-bodied","robust","lusty",""
"dhad","धड","the body","torso","trunk",""
"dhadak","धडक","a collision","","",""
"dhadakane","धडकणे","to hit","strike","knock",""
"dhadaki","धडकी","alarm","fear","palpitations",""
"dhadagat","धडगत","prospect","hope","chance",""
"dhadadhad","धडधड","beating","trobbing","throb",""
"dhadadhadane","धडधडणे","to beat","flutter","throb",""
"dhadadhadit","धडधडीत","flagrant","gross","plapable",""
"dhadadhakat","धडधाकट","able-bodied","robust","sturdy",""
"dhadapad","धडपड","struggle","attempt","",""
"dhadapadane","धडपडणे","to struggle","strive","",""
"dhada","धडा","a lesson","moral","warning",""
"dhadaka","धडाका","a bang","boom","",""
"dhadadi","धडाडी","aggressiveness","drive","zip",""
"dhadam","धडाम","Wham!","","",""
"dhatura","धतुरा","datura","","",""
"dhanda","धंदा","an occupation","business","trade",""
"dhandevaik","धंदेवाईक","professional","","",""
"dhan","धन","wealth ","money","riches",""
"dhanako","धनको","a creditor","lender","money-lender",""
"dhanagar","धनगर","a shepherd","herdsman","",""
"dhandaulat","धनदौलत","riches","wealth","",""
"dhanalabh","धनलाभ","windfall","bonanza","",""
"dhanavan","धनवान","wealthy","rich","affluent",""
"dhanashanyan","धनसंचय","accumulation of wealth","accumulated wealth","",""
"dhanahin","धनहीन","poor","penniless","money-less",""
"dhanagra","धनाग्र","an anode","","",""
"dhanadhya","धनाढ्य","wealthy","opulent","affulent",""
"dhanadesh","धनादेश","a cheque","money orger","",""
"dhanadhyaksha","धनाध्यक्ष","a treasurer","","",""
"dhanik","धनिक","rich","wealthy","",""
"dhani","धनी","a lord","owner","master",""
"dhanin","धनीण","a proprietress","owner","",""
"dhanurdhar","धनुर्धर","a archer","bowman","",""
"dhanurvat","धनुर्वात","tetanus","","",""
"dhnuvidra","धनुर्विद्या","archery","","",""
"dhanushya","धनुष्य","a bow","","",""
"dhanushyaban","धनुष्यबाण","a bow and arrow","","",""
"dhanu","धनू","the sign Sagittarius ","","",""
"dhane","धने","coriander seeds","","",""
"dhanya","धन्य","blessed","auspicious","",""
"dhnyavad","धन्यवाद","thanks","gratitude","",""
"dhanvantari","धन्वंतरी","name of the god's physician","","",""
"dhap","धप","a dull","heavy sound","a thud",""
"dhapakan","धपकन","with a thud","heavily","",""
"dhapata","धपाटा","smack","a slap","",""
"dhabadhab","धबधब","a waterfall","fall","cascade",""
"dhamak","धमक","mettle","drive","guts",""
"dhamakavani","धमकावणी","to threaten","intimidation","",""
"dhamakavane","धमकावणे","to threaten","intimidate","",""
"dhamaki","धमकी","a threat","duress","",""
"dhamani","धमनी","an artery","","",""
"dhamaka","धमाका","a bang","explosion","boom",""
"dharan","धरण","a dam","","",""
"dharani","धरणी","the earth","","",""
"dharanikanp","धरणीकंप","an earthquake","quake","",""
"dharanidhar","धरणीधर","a mountain","","",""
"dharane","धरणे","to catch","to hold","",""
"dharati","धरती","the earth","","",""
"dharatimata","धरतीमाता","Mother Earth","","",""
"dharapakad","धरपकड","widespread arrests","","",""
"dhabanda","धरबंद","a restrain","constraint","check",""
"dharamakata","धरमकाटा","a weigh-bridge","","",""
"dharampeti","धरमपेटी","a charity box","","",""
"dharasod karane","धरसोड करणे","to vacillate ","waver","fluctuate",""
"dhara","धरा","the earth","","",""
"dharatal","धरातल","surface of the earth","","",""
"dharun","धरून","including","counting","",""
"dharma","धर्म","a religion","faith ","duty",""
"dharmakata","धर्मकाटा","a weigh-bridge","","",""
"dhrmaguru","धर्मगुरु","a religious preceptor","father","rabbi",""
"dharmagranth","धर्मग्रंथ","a scripture","sacred book","",""
"dharmatatva","धर्मतत्व","a tenet","","",""
"dharmatantra","धर्मतंत्र","theocracy","","",""
"dharmatyag","धर्मत्याग","apostate","","",""
"dharmatyagi","धर्मत्यागी","a apostate","renegade","",""
"dharmadan","धर्मदान","alms","","",""
"dharmaninda","धर्मनिंदा","profanity","blasphemy","sacrilege",""
"dharmanirapeksh","धर्मनिरपेक्ष","secular","non-religious","",""
"dharmanipeksha","धर्मनिपेक्ष","secularism","","",""
"dharmanishta","धर्मनिष्ठा","piety","devotness","piousness",""
"dharmapatni","धर्मपत्नी","a lawfully married wife","","",""
"dharmaparayan","धर्मपरायण","pious","godly","God-fearing",""
"dharmaparivartan","धर्मपरिवर्तन","conversion","","",""
"dharmapisat","धर्मपिसाट","a religious fanatic","","",""
"dharmapeti","धर्मपेटी","a charity box","","",""
"dharmaprachar","धर्मप्रचार","a missionary","","",""
"dharmabandhu","धर्मबंधू","a brother in religion","coreligionist","",""
"dharmabrasha","धर्मभ्रष्ट","apostate","","",""
"dharmayudhda","धर्मयुद्ध","a crusade","","",""
"dharmayudhda","धर्मयुद्दध","a crusader","","",""
"dharmavidhi","धर्मविधी","a religious rite","","",""
"dharmaveda","धर्मवेडा","religious fanatic","religious maniac","",""
"dharmavetta","धर्मवेत्ता","the theologian","","",""
"dharmashatra","धर्मशास्त्र","theology","","",""
"dharmashala","धर्मशाळा","a charitable rest house for traveller","","",""
"dharmadhil","धर्मशील","religious","pious","virtuous",""
"dharmasharda","धर्मश्रद्धा","faith","","",""
"dharmasankat","धर्मसंकट","a dilemma","quandary","",""
"dharmasatta","धर्मसत्ता","theocracy","","",""
"dharmahin","धर्महीन","irreligious","","",""
"dharnadyna","धर्मज्ञ","a theologian","","",""
"dharmacharan","धर्माचरण","righteous conduct","","",""
"dharmantar","धर्मांतर","conversion","","",""
"dharmantarit","धर्मांतरित","converted","proselytized","",""
"dharmatma","धर्मात्मा","a righteous person","a saint","",""
"dharmadan","धार्मदान","alms","charity","a charitable",""
"dharmath","धर्माध","fanatical","bigoted","",""
"dharmarth","धर्मार्थ","charitable","","",""
"dharmonmad","धर्मोन्माद","religious fanaticism","","",""
"dharmopadeshak","धर्मोपदेशक","a spiritual preceptor","","",""
"dhawal","धवल","white","","",""
"dhachshrot","धच्श्रोट","graceless","tactless","",""
"dhashtapushta","धष्टपुष्ट","stalwart","strong","sturdy",""
"dhasaka ghene","धसका घेणे","to panic","take fright","lose one's nerve",""
"dashamusala","धसमुसळा","tactless","rough","hamhanded",""
"dhak","धाक","awe","dread","",""
"dhakata","धाकटा","younder","junior","",""
"dhakatapatasha","धाकदपटशा","intimidation","coercion","threats",""
"dhakadhuk","धाकधूक","apprehension","anxiety","fear",""
"dhagadadhinga","धागडधिंगा","horseplay","revelry","",""
"dhagadora","धागादोरा","a clue","lead","trace",""
"dhatani","धाटणी","style","cast","make",""
"dhad","धाड","raid","surprise","attack",""
"dhadakan","धाडकान","with a bang","","",""
"dhadane","धाडणे","to send","dispatch","consign",""
"dhadas","धाडस","courage","daring","spirit",""
"dhadasi","धाडसी","courage","daring","dauntless",""
"dhatukarmavidya","धातुकर्मविद्या","metallurgy","","",""
"dhatupashan","धातुपाषण","ore","","",""
"dhatu","धातु","a metal","semen","a verb root",""
"dhandal","धांदल","haste","rush","hurry",""
"dhadant","धादांत","downright","blatantly","",""
"dhan","धान","paddy","unhusked rice","",""
"dhap","धाप","a gasp","pant","",""
"dhabe dananane","धाबे दणाणणे","to be frightened out of one's sense","to be thrown of balance","",""
"dhabyavar basavane","धाब्यावर बसवणे","to flout","defy","disregard",""
"dham","धाम","a dwelling","abode","",""
"dhamadhum","धामधूम","hurly-burly","rush","activity",""
"dhay mokalane","धाय मोकलणे","to weep bitterly","to sob violently","",""
"dhar","धार","an edge","flow","gush",""
"dharak","धारक","a bearer","holder","",""
"dharana","धारणा","presumption","assumption","retention",""
"dharanadhikar","धारणाधिकार","tenure","","",""
"dharadar","धारदार","sharp","","",""
"dhara","धारा","a stream","current","shower",""
"dharatirth","धारातीर्थ","a battlefield","","",""
"dharapravahi","धराप्रवाही","fluent","","",""
"dharavahik","धारावाहिक","a serial","","",""
"dharisht","धारिष्ट","daring","boldness","",""
"dhari","धारी","edge","border","",""
"dharjina","धार्जिणा","propitious","auspicious","favourable",""
"dharmik","धार्मिक","religious","spiritual","holypious",""
"dhav","धाव","a run","reach","",""
"dhavane","धावणे","to run","to rush","",""
"dhavate","धावते","running","","",""
"dhavapatti","धावपट्टी","an airstrip","runway","landing strip",""
"dhavapal","धावपळ","rush","activity","hurry",""
"dhavafalak","धावफलक","a score board","","",""
"dhava","धावा","invocation","","",""
"dhavadhav","धावाधाव","bustle","stampede","",""
"dhashtary","धाष्टर्य","nerve","audacity","boldness",""
"dhastavane","धास्तावणे","to panic","to lose one's nerve","to take fright",""
"dhasti","धास्ती","apprehension","dread","panic",""
"dhikkar","धिक्कार","condemnation","denuciation","",""
"dhinga","धिंगा","romping","horseplay","rampage",""
"dhingamasti","धिंगामस्ती","cavorting","romping","horseplay",""
"dhitai","धिटाई","boldness","effrontery","defiant",""
"dhind kadhane","धिंड काढणे","to expose ","to disgrace","",""
"dhippad","धिप्पाड","slawart","robust","sturdy",""
"dhima","धीमा","slow","","",""
"dhirade","धिरडे","an omellete","","",""
"dhi","धी","intellect","mind","",""
"dhit","धीट","bold","audacious","defaint",""
"dhiman","धीमान","intelligent","wise","",""
"dhir","धीर","patience","courage","grit",""
"dhirgambhir","धीरगंभीर","cool","demure","serene",""
"dharodatta","धारोदात्त","brave and noble","","",""
"dhuke","धुके","fog","haze","",""
"dhudakavane","धुडकावणे","to defy","to spurn","to reject",""
"dhudagus","धुडगूस","rampage","","",""
"dhundalane","धुंडाळणे","to rummage","forage","",""
"dhudum asa avaj","धुडूम असा आवाज","boom","","",""
"dhune","धुणे","to wash","wash out","laundry",""
"dhutkarane","धुत्कारणे","to drive away scomfully","","",""
"dhund","धुंद","intoxicated","delirious","excited",""
"dhundi","धुंदी","intoxication","stupor","",""
"dhunakane","धूनकणे","to card","","",""
"dhupatane","धुपाटणे","a censer","","",""
"dhumshchakri","धूमश्च्रक्री","melee","brawl","",""
"dhumas","धुमस","a rammer","","",""
"dhumasane","धुमसणे","to fume","seethe","burn",""
"dhumakul","धुमाकूळ","rampage","uproar","",""
"dhumali","धुमाळी","uproar","commotion","tumult",""
"dhurakat","धुरकट","smoky","","",""
"dhurakatane","धुरकटणे","to be soiled by smoke","","",""
"dhurandhar","धुरंधर","clever","expert","a leader",""
"dhurala","धुरळा","dust","","",""
"dhura","धुरा","responsibility","","",""
"dhurade","धुराडे","a chimney","smokestack","",""
"dhurala","धुराळा","dust","","",""
"dhuri","धुरी","fumigation","","",""
"dhurin","धुरीण","the head ","the chief","leading",""
